mdse_item_i, co_loc_i, p_sls_d, customer_paid_price, own_retl_a, sls_retl_a, base_price
5505987,56,5/15/18,1.12,1.19,1.19,1.19
5505987,56,5/17/18,1.13,1.19,1.19,1.19
5505987,56,5/19/18,1.19,1.19,1.19,1.19
5505987,56,5/19/18,1.13,1.19,1.19,1.19
5505987,56,5/21/18,1.19,1.19,1.19,1.19
5505987,56,5/21/18,1.13,1.19,1.19,1.19
5505987,56,5/22/18,1.19,1.19,1.19,1.19
5505987,56,5/22/18,1.19,1.19,1.19,1.19
5505987,56,5/26/18,1.19,1.19,1.19,1.19
5505987,56,5/27/18,1.13,1.19,1.19,1.19
5505987,56,5/28/18,1.13,1.19,1.19,1.19
5505987,56,5/28/18,1.13,1.19,1.19,1.19
5505987,56,6/1/18,1.13,1.19,1.19,1.19
5505987,56,6/2/18,1.19,1.19,1.19,1.19
5505987,56,6/4/18,1.19,1.19,1.19,1.19
5505987,56,6/7/18,1.19,1.19,1.19,1.19
5505987,56,6/7/18,1.19,1.19,1.19,1.19
5505987,56,6/7/18,1.19,1.19,1.19,1.19
5505987,56,6/8/18,1.19,1.19,1.19,1.19
5505987,56,6/9/18,1.19,1.19,1.19,1.19
5505987,56,6/10/18,1.13,1.19,1.19,1.19
5505987,56,6/11/18,1.19,1.19,1.19,1.19
5505987,56,6/12/18,1.19,1.19,1.19,1.19
5505987,75,5/13/18,1.12,1.12,1.12,1.12
5505987,75,5/15/18,1.12,1.12,1.12,1.12
5505987,75,5/22/18,1.12,1.12,1.12,1.12
5505987,75,5/22/18,1.12,1.12,1.12,1.12
5505987,75,5/22/18,1.12,1.12,1.12,1.12
5505987,75,5/22/18,1.12,1.12,1.12,1.12
5505987,75,5/22/18,1.12,1.12,1.12,1.12
5505987,75,5/22/18,1.12,1.12,1.12,1.12
5505987,75,5/22/18,1.12,1.12,1.12,1.12
5505987,75,5/22/18,1.12,1.12,1.12,1.12
5505987,75,5/28/18,1.12,1.12,1.12,1.12
5505987,75,5/29/18,1.12,1.12,1.12,1.12
5505987,75,5/29/18,1.12,1.12,1.12,1.12
5505987,75,5/29/18,1.12,1.12,1.12,1.12
5505987,75,5/29/18,1.12,1.12,1.12,1.12
5505987,75,5/29/18,1.12,1.12,1.12,1.12
5505987,75,5/29/18,1.12,1.12,1.12,1.12
5505987,75,6/10/18,1.12,1.12,1.12,1.12
5505987,75,6/11/18,1.12,1.12,1.12,1.12
5505987,76,5/15/18,1.12,1.12,1.12,1.12
5505987,76,5/15/18,0.96,1.12,1.12,1.12
5505987,76,5/18/18,1.12,1.12,1.12,1.12
5505987,76,5/19/18,1.06,1.12,1.12,1.12
5505987,76,5/21/18,1.06,1.12,1.12,1.12
5505987,76,5/26/18,1.12,1.12,1.12,1.12
5505987,76,5/30/18,1.07,1.12,1.12,1.12
